使用组织	编码	名称	规格型号	描述	物料分组	物料分组编码	数据状态	禁用状态	物料属性	存货类别	基本单位	已使用	当前版本	创建人	采购类别
大成集团	ER10-0029	USB2.0转Mini5P	AM-Mini 5P		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0030	VGA延长器	DT7044D,KVM延长器，50米		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否		肖树园	
大成集团	ER10-0031	工作站	T3420（至强Xeon-E3/8G ECC/512G SSD 硬盘/NVS 310,1GB）		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否		肖树园	
大成集团	ER10-0032	插座	AC-01A三合一品字插座		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否		肖树园	
大成集团	ER10-0033	脚踏（带自锁）	LTH-16		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0034	KVM切换器2口	USB2.0多电脑切换器 配线 带桌面控制器		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0035	路由器	TP-LINK TL-SF1008D 8口百兆交换机		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0036	报警灯	常亮 24V，常亮，三色灯带蜂鸣，型号圆盘带杆		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0037	锁	XAT11-B		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0038	进口拉伸膜	3.4KG/桶		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否		肖树园	
大成集团	ER10-0039	防水接线盒			功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0040	电源滤波器	SGAD3-10A		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0041	深圳深谷EMI滤波器 ,单相电源滤波器	SGAD3-10A2		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0042	网卡双网口	I350-T2PCI-E服务器双口千兆网卡 Intel i350t2 1000M网卡双网口		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否		肖树园	
大成集团	ER10-0043	双网口网卡	IO-PCE8111-2GLAN		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0044	智能电压/电流变送器	NHR-M31-X-31/X-D1/5-D,0-10V输入信号，输出RS485、0-10V两路输出，24V电源供电		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0045	信号隔离分配器	WFFP-1-2P 一分二信号隔离转换分配器，250KHZ输入频率，差分/集电极信号输入		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0046	智能终端微型摄像头	S-YUE晟悦  WX2071（1.5米）		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否		肖树园	
大成集团	ER10-0047	USB信号延长器	MT-450FT		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0048	真空吸盘海绵	DI-PL  76*22		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0049	SD卡	8G		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0050	485转232模块			功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0051	智能电压/电流变送器	NHR-M31-X-27/X-D1/0-D,4-20mA输入信号，输出RS485、4-20mA两路输出，24V电源供电，输入输出信号类型可切换	接0-5V/4-20mA电位计信号用	功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否		肖树园	
大成集团	ER10-0052	电源滤波器	SH420-20(单相双节)		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0053	交换机	S2626 24口百兆		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0054	电子秤	AUY220		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0055	16口有线多功能宽带路由器	TL-R1660+(TP-LINK)		功能辅助器件	ER10	已审核	否	外购	原材料	台	否			
大成集团	ER10-0056	PCI网卡	TF-3239DL(TP-LINK)		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0057	鼠标	双飞燕520NU USB口		功能辅助器件	ER10	已审核	否	外购	原材料	个	否		xsy	
大成集团	ER10-0058	键盘	小太阳8231 USB口		功能辅助器件	ER10	已审核	否	外购	原材料	个	否		杨智	
大成集团	ER10-0059	光电鼠标	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0060	键盘	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0061	键盘	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0062	D-LINK千兆网卡	DGE-528T		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0063	16路控温控温系统	ARD-3216NT	每个小车各配1套	功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0064	16路采温控温系统	ARD-3216TP	每个小车各配2套	功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0065	双芯热电阻	pt100	小车*14层热板=14根，备2个	功能辅助器件	ER10	已审核	否	外购	原材料	根	否			
大成集团	ER10-0066	单芯热电阻	PT100	底板，环境温度监控	功能辅助器件	ER10	已审核	否	外购	原材料	根	否			
大成集团	ER10-0067	气象模块	FLEX1000	监控箱内温度、压力	功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0068	KM跨屏穿越者切换器	MT-KD02		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0069	三角皮带	-		功能辅助器件	ER10	已审核	否	外购	原材料	条	否			
大成集团	ER10-0070	欧姆龙RS232选项板	CP1W-CIF01		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0071	USB转RS232转换器	UT-882		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0072	VGA音视频延长器发射器	IPVA-200S		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0073	HDMI延长器接收器	HDV-170D		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0074	汇川何服附件	S6-L-T04-0.3		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0075	VGA分配器	-		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0076	控温模块	ARN-24NT		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0077	无线键盘鼠标	-		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0078	LED维修工作灯	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0079	24路控温系统	ARD-4824NT		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0080	VGA视频信号延长器	VE150A		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0081	智能电压/电流变送器	NHR-M31-X-28/X-D1/3-D,0-5V输入信号，输出RS485、0-5V两路输出，24V电源供电		功能辅助器件	ER10	已审核	否	外购	原材料	个	否		肖树园	
大成集团	ER10-0082	温控器	E5CK-VR101		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0083	余姚温控器	XMTG-818C1K 模拟电压0-10V输出 RS485通讯		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0084	控制输入输出用接插件	R88A-CNW01C		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0085	散热器	Y92B-N150		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0086	温度过程控制模块	ARD-6TPT,6路输入，6路输出		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0087	吸盘配件（海绵）	DI-PL  38*22  N10  FLGR		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否		肖树园	
大成集团	ER10-0088	欧式防水接线盒	重庆博斯泰克电气   尺寸：200*150*100		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0089	报警灯	TL-50LLC/RGY23Z		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0090	蜂鸣器	XB2-BSBC		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0091	滤波器	SGEF3-10A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0092	双口485串口卡	CP-132UL		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0093	滤波器	SGEG4-10A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0094	KT模块	KT18		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0095	KT模块	KT10		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0096	KT模块	KT6		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0097	KT模块	KT12		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0098	KT模块	KT7		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0099	框架	KEL24/10		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0100	路由器	TP-LINK 1200M 11AC双频智能无线路由器TL-WDR6300		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0101	LED照明灯管	24V5630超高亮进口U型，超薄带罩硬灯条，1米长		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0102	LED照明灯管	24V超高亮进口8520双芯，V型90度奶白罩硬灯条，1米长		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0103	三色LED灯管	ONN-X2M-B4-RYG-1534，DC24V，共负		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0104	三色LED灯管	ONN-X2M-B4-RYG-778，DC24V，共负		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0105	红外网络摄像机	DS-2CD3145FD-l 2.8mm		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0106	真空计	PCG550，RJ45接头，0-10V输出		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0107	露点仪	HKT60SP/RS485通讯		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0108	压差表	TD3000-2 ±60Pa，4-20ma输出		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0109	温度采集模块	ARD-TP08		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0110	加热探针	TZ-80A		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0111	交换机	TP-LINK TL-SF1016DT 16口千兆		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0112	电源滤波器	SGEF3-6A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0113	电源插座模块	D051		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0114	LED照明灯管	DC24V,5630乳白罩36株，LED硬灯条灯，带接插头		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0115	扫码枪	GSF4450-9		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0116	报警灯	TPFB5-L73-ROG		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0117	报警灯底座	TPTL5-F		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0118	报警灯	TL-501LLC/GYR23ZZ50		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0119	温度变送器	voltage 24VDC;input  RTD Pt1000;output 0~10V;range 0~100度;accuracy 0.2;带隔离		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0120	温控模块	ARD-2TPA 输出模拟通道为0-10V输出		功能辅助器件	ER10	已审核	否	外购	原材料	块	否			
大成集团	ER10-0121	鹏斐克吸盘	PFK-16x30A-D6		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0122	电阻真空计	PDM-520C		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0123	电阻规	ZJ-52T/KF10/16		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0124	面板安装式USB转接器	U09A-AF-AF-B MISUMI		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0125	交换机	TP-LINK TL-SG1016DT 16口千兆		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0130	深圳深谷电源滤波器	SGAG4-30A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0131	深圳深谷电源滤波器	SGAE4-10A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0132	深圳深谷电源滤波器	SGEH4-40A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0133	交换机	TP-LINK TL-SG1008D 8口千兆		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0134	电源滤波器	SGAE4-20A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0135	浩渡科技双芯热电阻	pt100	双芯热电阻，线长待定，小车热板用	功能辅助器件	ER10	已审核	否	外购	原材料	根	否			
大成集团	ER10-0136	帝特KVM网线延长器	KVM网线延长器，DT7044D,网线延长50米，可接鼠标键盘		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0137	昆山西威联KT模块	KT3		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0138	昆山西威联KT模块	KT4		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0139	昆山西威联KT模块	KT5		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0140	昆山西威联KT模块	KT8		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0141	昆山西威联KT模块	KT9		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0142	昆山西威联KT模块	KT11		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0143	昆山西威联KT模块	KT13		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0144	昆山西威联KT模块	KT14		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0145	昆山西威联KT模块	KT16		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0146	鹏斐克吸盘	PFK-22x38A-D6		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0147	施耐德相间隔板	LV429329		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0148	施耐德操作杆	LV429338		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0149	施耐德端子扩展器	LV431563		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0150	艾瑞德8路采集模块	ARD-3208TP,8路输入		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0151	艾瑞德8路控温模块	ARD-4808NT,8路输出，双485		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0152	艾瑞德16路控温模块	ARD-4816NT,16路输出，双485		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0157	台式机机械硬盘	西部数据1TB 7200转64M		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0158	TDK滤波器	DBA4-10A		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0159	施耐德热继电器	LR-D01C		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0160	报警灯	TD50/G/3/C/F/24V/+		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0161	导电海棉	200MM*300MM*5MM		功能辅助器件	ER10	已审核	否	外购	原材料	块	否			
大成集团	ER10-0162	HDMI延长器	HDV-170D（配双通道DVI-D转HDMI线）		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0163	李群QDI01616模组型成品	QDI-01-1616		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0164	台塑报警灯	LTD-1101J		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0165	海湾消防输入模块	GST-LD-8300		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0166	海曼烟雾探测器	HM-613PC-4		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0167	深圳深谷电源滤波器	SGEG4-20A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0168	金士顿TF卡	8G		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0169	一字激光器	FU650L100-BD22 (配延长线)		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0170	电源滤波器	SH420-10/M(单相双节)		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0171	金宏旋钮接插件	J19-3P-20		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0172	友邦防尘盖	UTD-100IF		功能辅助器件	ER10	已审核	否	外购	原材料	米	否			
大成集团	ER10-0173	友邦防尘盖	UTD-41F		功能辅助器件	ER10	已审核	否	外购	原材料	米	否			
大成集团	ER10-0174	有线鼠标	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0176	公牛漏电保护插座	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0177	条码打印机	GK888T		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0178	硬件还原卡	PCIE接口		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0179	真空变送器	ZDZ-52TV01		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0180	232串口卡	SE5026		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0181	JTag烧写器	J-LINK V9仿真器JLINK V9调试器ARM/STM32/JTAG/SWD下载器烧录器    带转接板		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0183	可折式单层三色报警灯	ONN M4T-1ABFTRYG50		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0184	台达温控器	DTC1000R		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0185	无线路由器	TP-LINK双千兆路由器 无线家用穿墙1200M高速双频wifi WDR5620千兆版		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0186	滤波器	Murata,PLA10AS1030R7R2B,通孔安装,10mH 0.7A	LC_No:C184805,10mH 0.7A 共模扼流圈	功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0187	单芯热电阻	PT100，压鼻式，高绝缘型		功能辅助器件	ER10	已审核	否	外购	原材料	根	否			
大成集团	ER10-0188	艾瑞德温度采集模块	ARD-TP16		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0189	网络转换器	RS232转RS485		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0190	顶德智能电表	DED194Z-9S4(支持485通讯)		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0191	四口千兆网卡	IO-PCE8111-4GLAN		功能辅助器件	ER10	已审核	否	外购	原材料	张	否			
大成集团	ER10-0192	浩渡科技双芯热电阻-ER10-0128重复	pt100见图纸，线长770mm并且分组标示好	电阻直径：φ5	功能辅助器件	ER10	已审核	否	外购	原材料	根	否			
大成集团	ER10-0193	深圳深谷电源滤波器	SGFJ4-100A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0194	交换机	MINI-S16G-U-V2		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否			
大成集团	ER10-0195	交换机	华三H3C S8G全千兆交换机8口网络监控交换机		功能辅助器件	ER10	已审核	否	外购	原材料	Pcs	否		肖树园	
大成集团	ER10-0196	霍克视觉相机	acA2500-14gm 500万像素，CMOS,黑白，GigE接口		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0197	霍克视觉镜头	HVFV2020 低畸变，20mm，CCTV		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0198	霍克视觉光源	HVZT-FCK480*450B 开孔背光（480*450mm）		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0199	霍克视觉光源控制器	HVZT-APS24-2T 模拟，2通道，大功率		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0200	双网口网卡	WY546T2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0201	正泰电流表	42L6-A		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0202	深圳深谷电源滤波器	SGAH4-100A2		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0203	深圳深谷单相电源滤波器	sGAO4-150A2  AC220V 150A		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0204	真空计电路板	PCG550，RJ45接头，0-10V输出		功能辅助器件	ER10	已审核	否	外购	原材料	块	否			
大成集团	ER10-0205	基恩士扫码枪	HR-100B		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0206	电池LITHIUM-ION BATTERY	HR-B1		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0207	通信基座BLUETOOTH ADAPTER UNIT	HR-UC1		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0208	正泰电流表	42L6-A  300/5A		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0209	正泰电流互感器	BH-0.66 300/5A   Φ50  0.5级		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0210	昆山西威联穿墙板	KEL24/12-2MT		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0211	AC三合一电源插座	-		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0212	MISUMI面板安装RJ45网线转接器	NW080-30S-C5E		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0213	人民电器脚踏开关	EKW-5A-B		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0214	台湾錩钢航空插头插座	PLT-163-R+P		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0215	MISUMIDC风扇	C6025M24BPLB-7		功能辅助器件	ER10	已审核	否	外购	原材料	台	否			
大成集团	ER10-0216	MISUMI金属手指防护罩	MWFG-60		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0217	MISUMI树脂过滤器组件	MPFG-60		功能辅助器件	ER10	已审核	否	外购	原材料	套	否			
大成集团	ER10-0218	隔板直通气管接头	PM6		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
大成集团	ER10-0219	九家机床长臂软管LED灯	5W 白光 24V 管长500mm		功能辅助器件	ER10	已审核	否	外购	原材料	个	否			
